순위,노래제목,가수명
1,Good Goodbye,화사 (HWASA)
2,사랑하게 될 거야,한로로
3,Drowning,WOODZ
4,그대 작은 나의 세상이 되어,카더가든
5,타임캡슐,다비치
6,Blue Valentine,NMIXX
7,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
8,SPAGHETTI (feat. j-hope of BTS),"LE SSERAFIM (르세라핌), j-hope"
9,ONE MORE TIME,ALLDAY PROJECT
10,0+0,한로로
11,멸종위기사랑,이찬혁
12,어제보다 슬픈 오늘,우디 (Woody)
13,달리 표현할 수 없어요,로이킴
14,뛰어(JUMP),BLACKPINK
15,NOT CUTE ANYMORE,아일릿(ILLIT)
16,하얀 그리움,프로미스나인
17,"힙합보단 사랑, 사랑보단 돈 (Feat. 베이식)",노아주다 (noahjooda)
18,모르시나요(PROD.로코베리),조째즈
19,FAMOUS,ALLDAY PROJECT
20,너의 모든 순간,성시경
21,like JENNIE,제니 (JENNIE)
22,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
23,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
24,"Zoo (From ""Zootopia 2""/Soundtrack Version)","Disney, Shakira"
25,OVERDRIVE,TWS (투어스)
26,천상연,이창섭
27,toxic till the end,로제 (ROSÉ)
28,내게 사랑이 뭐냐고 물어본다면,로이킴
29,Soda Pop,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee"
30,너에게 닿기를,10CM
31,시작의 아이 ❍,"박다혜, 마크툽 (MAKTUB)"
32,사랑은 늘 도망가,임영웅
33,나는 반딧불,황가람
34,청춘만화,이무진
35,Whiplash,aespa
36,첫 눈,EXO
37,HAPPY,DAY6 (데이식스)
38,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
39,오늘만 I LOVE YOU,BOYNEXTDOOR
40,REBEL HEART,IVE (아이브)
41,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
42,한 페이지가 될 수 있게,DAY6 (데이식스)
43,소나기,이클립스 (ECLIPSE)
44,예뻤어,DAY6 (데이식스)
45,한번 더 이별,이창섭
46,눈사람,정승환
47,XOXZ,IVE (아이브)
48,그래 늦지 않았어 (2025),"아샤트리, 이예은, 전건호"
49,시작의 아이,마크툽 (MAKTUB)
50,순간을 영원처럼,임영웅
51,APT.,"로제 (ROSÉ), Bruno Mars"
52,365일,이창섭
53,IRIS OUT,Kenshi Yonezu
54,Hollywood Action,BOYNEXTDOOR
55,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH)
56,Flower,오반(OVAN)
57,운명 (2025),"먼데이 키즈, 이이경"
58,Love wins all,아이유
59,Welcome to the Show,DAY6 (데이식스)
60,우리들의 블루스,임영웅
61,FOCUS,Hearts2Hearts (하츠투하츠)
62,Crown,EXO
63,Die With A Smile,"Lady Gaga, Bruno Mars"
64,주저하는 연인들을 위해,잔나비
65,Never Ending Story,아이유
66,눈이 오잖아(Feat.헤이즈),이무진
67,청혼하지 않을 이유를 못 찾았어,이무진
68,첫 만남은 계획대로 되지 않아,TWS (투어스)
69,TOO BAD (feat. Anderson .Paak),G-DRAGON
70,다시 만날 수 있을까,임영웅
71,사랑인가 봐,멜로망스
72,Rich Man,aespa
73,다정히 내 이름을 부르면,"경서예지, 전건호"
74,나였으면,"나윤권, 도경수(D.O.)"
75,인사,범진
76,이 밤을 빌려 말해요,PLAVE
77,들꽃이 될게요,임영웅
78,STYLE,Hearts2Hearts (하츠투하츠)
79,헤어지자 말해요,박재정
80,I AM,IVE (아이브)
81,그댈 위한 멜로디,임영웅
82,MY LOVE(2025),"이예은, 아샤트리, 전건호"
83,에피소드,이무진
84,Seven (feat. Latto) - Clean Ver.,정국
85,Dirty Work,aespa
86,Magnetic,아일릿(ILLIT)
87,DUET,"지코 (ZICO), Lilas"
88,빌려온 고양이 (Do the Dance),아일릿(ILLIT)
89,가만히 눈을 감고,DK(디셈버)
90,Supernova,aespa
91,비의 랩소디,임재현
92,슬픈 초대장,순순희(지환)
93,사랑은 봄비처럼...이별은 겨울비처럼...,임현정
94,고민중독,QWER
95,LOOK AT ME,ALLDAY PROJECT
96,body,다영 (DAYOUNG)
97,Hype Boy,NewJeans
98,비가 와서,임영웅
99,WICKED,ALLDAY PROJECT
100,BBUU!,PLAVE
